Scheme,Price,Date
Balanced Fund,1.0,2007-10-01
Balanced Fund,1.0,2007-10-02
Balanced Fund,0.9997,2007-10-03
Balanced Fund,1.0001,2007-10-04
Balanced Fund,1.0001,2007-10-05
Balanced Fund,1.0001,2007-10-06
Balanced Fund,1.0,2007-10-07
Balanced Fund,1.003,2007-10-08
Balanced Fund,0.9991,2007-10-09
Balanced Fund,1.0038,2007-10-10
Balanced Fund,1.0027,2007-10-11
Balanced Fund,1.005,2007-10-12
Balanced Fund,1.0005,2007-10-13
Balanced Fund,1.0005,2007-10-14
Balanced Fund,1.0027,2007-10-15
Balanced Fund,1.0015,2007-10-16
Balanced Fund,0.9988,2007-10-17
Balanced Fund,1.0024,2007-10-18
Balanced Fund,0.994,2007-10-19
Balanced Fund,0.994,2007-10-20
Balanced Fund,0.994,2007-10-21
Balanced Fund,0.994,2007-10-22
Balanced Fund,0.9942,2007-10-23
Balanced Fund,0.9986,2007-10-24
Balanced Fund,0.9972,2007-10-25
Balanced Fund,0.9962,2007-10-26
Balanced Fund,0.9962,2007-10-27
Balanced Fund,0.9962,2007-10-28
Balanced Fund,0.9962,2007-10-29
Balanced Fund,0.9987,2007-10-30
Balanced Fund,1.0016,2007-10-31
Balanced Fund,1.0022,2007-11-01
Balanced Fund,0.9946,2007-11-02
Balanced Fund,0.9946,2007-11-03
Balanced Fund,0.9946,2007-11-04
Balanced Fund,0.9884,2007-11-05
Balanced Fund,0.9856,2007-11-06
Balanced Fund,0.9887,2007-11-07
Balanced Fund,0.9786,2007-11-08
Balanced Fund,0.9774,2007-11-09
Balanced Fund,0.9774,2007-11-10
Balanced Fund,0.9774,2007-11-11
Balanced Fund,0.9698,2007-11-12
Balanced Fund,0.9766,2007-11-13
Balanced Fund,0.9845,2007-11-14
Balanced Fund,0.9784,2007-11-15
Balanced Fund,0.9775,2007-11-16
Balanced Fund,0.9775,2007-11-17
Balanced Fund,0.9775,2007-11-18
Balanced Fund,0.9779,2007-11-19
Balanced Fund,0.9698,2007-11-20
Balanced Fund,0.9683,2007-11-21
Balanced Fund,0.9677,2007-11-22
Balanced Fund,0.9703,2007-11-23
Balanced Fund,0.9703,2007-11-24
