Scheme,Price,Date
Conservative Fund,1.0,2007-10-01
Conservative Fund,1.0,2007-10-02
Conservative Fund,0.9995,2007-10-03
Conservative Fund,0.9984,2007-10-04
Conservative Fund,0.9985,2007-10-05
Conservative Fund,0.9985,2007-10-06
Conservative Fund,1.0,2007-10-07
Conservative Fund,0.9989,2007-10-08
Conservative Fund,0.9977,2007-10-09
Conservative Fund,0.9993,2007-10-10
Conservative Fund,0.9991,2007-10-11
Conservative Fund,0.9985,2007-10-12
Conservative Fund,0.9985,2007-10-13
Conservative Fund,0.9985,2007-10-14
Conservative Fund,0.9993,2007-10-15
Conservative Fund,0.9978,2007-10-16
Conservative Fund,0.9974,2007-10-17
Conservative Fund,0.9994,2007-10-18
Conservative Fund,0.9991,2007-10-19
Conservative Fund,0.9991,2007-10-20
Conservative Fund,0.9991,2007-10-21
Conservative Fund,0.9991,2007-10-22
Conservative Fund,0.9992,2007-10-23
Conservative Fund,0.9993,2007-10-24
Conservative Fund,1.0007,2007-10-25
Conservative Fund,0.9995,2007-10-26
Conservative Fund,0.9995,2007-10-27
Conservative Fund,0.9995,2007-10-28
Conservative Fund,1.001,2007-10-29
Conservative Fund,1.0008,2007-10-30
Conservative Fund,1.0004,2007-10-31
Conservative Fund,1.0001,2007-11-01
Conservative Fund,0.9979,2007-11-02
Conservative Fund,0.9979,2007-11-03
Conservative Fund,0.9979,2007-11-04
Conservative Fund,0.9977,2007-11-05
Conservative Fund,0.9971,2007-11-06
Conservative Fund,0.9986,2007-11-07
Conservative Fund,0.9963,2007-11-08
Conservative Fund,0.9972,2007-11-09
Conservative Fund,0.9972,2007-11-10
Conservative Fund,0.9972,2007-11-11
Conservative Fund,0.9966,2007-11-12
Conservative Fund,0.9971,2007-11-13
Conservative Fund,0.9998,2007-11-14
Conservative Fund,0.9979,2007-11-15
Conservative Fund,0.9987,2007-11-16
Conservative Fund,0.9987,2007-11-17
Conservative Fund,0.9987,2007-11-18
Conservative Fund,1.0002,2007-11-19
Conservative Fund,0.9985,2007-11-20
Conservative Fund,0.999,2007-11-21
Conservative Fund,0.9989,2007-11-22
Conservative Fund,0.9997,2007-11-23
Conservative Fund,0.9997,2007-11-24
Conservative Fund,0.9997,2007-11-25
Conservative Fund,1.0021,2007-11-26
Conservative Fund,1.0016,2007-11-27
Conservative Fund,1.001,2007-11-28
Conservative Fund,1.0028,2007-11-29
Conservative Fund,1.0047,2007-11-30
Conservative Fund,1.0047,2007-12-01
Conservative Fund,1.0047,2007-12-02
Conservative Fund,1.0046,2007-12-03
Conservative Fund,1.0051,2007-12-04
Conservative Fund,1.005,2007-12-05
Conservative Fund,1.0071,2007-12-06
Conservative Fund,1.0084,2007-12-07
