Scheme,Price,Date
Growth Fund,1.0,2007-10-01
Growth Fund,1.0,2007-10-02
Growth Fund,0.9999,2007-10-03
Growth Fund,1.0006,2007-10-04
Growth Fund,1.0007,2007-10-05
Growth Fund,1.0007,2007-10-06
Growth Fund,1.0,2007-10-07
Growth Fund,1.0045,2007-10-08
Growth Fund,1.0001,2007-10-09
Growth Fund,1.006,2007-10-10
Growth Fund,1.004,2007-10-11
Growth Fund,1.0015,2007-10-12
Growth Fund,1.0015,2007-10-13
Growth Fund,1.0015,2007-10-14
Growth Fund,1.005,2007-10-15
Growth Fund,1.0049,2007-10-16
Growth Fund,1.0016,2007-10-17
Growth Fund,1.005,2007-10-18
Growth Fund,0.9928,2007-10-19
Growth Fund,0.9928,2007-10-20
Growth Fund,0.9928,2007-10-21
Growth Fund,0.9928,2007-10-22
Growth Fund,0.993,2007-10-23
Growth Fund,0.9982,2007-10-24
Growth Fund,0.9964,2007-10-25
Growth Fund,0.9953,2007-10-26
Growth Fund,0.9953,2007-10-27
Growth Fund,0.9953,2007-10-28
Growth Fund,0.9998,2007-10-29
Growth Fund,0.9992,2007-10-30
Growth Fund,1.0033,2007-10-31
Growth Fund,1.0044,2007-11-01
Growth Fund,0.9942,2007-11-02
Growth Fund,0.9942,2007-11-03
Growth Fund,0.9942,2007-11-04
Growth Fund,0.9857,2007-11-05
Growth Fund,0.9819,2007-11-06
Growth Fund,0.9857,2007-11-07
Growth Fund,0.9729,2007-11-08
Growth Fund,0.9707,2007-11-09
Growth Fund,0.9707,2007-11-10
Growth Fund,0.9707,2007-11-11
Growth Fund,0.9597,2007-11-12
Growth Fund,0.9678,2007-11-13
Growth Fund,0.9783,2007-11-14
Growth Fund,0.9707,2007-11-15
Growth Fund,0.969,2007-11-16
Growth Fund,0.969,2007-11-17
Growth Fund,0.969,2007-11-18
Growth Fund,0.9695,2007-11-19
Growth Fund,0.9571,2007-11-20
Growth Fund,0.9555,2007-11-21
Growth Fund,0.9537,2007-11-22
Growth Fund,0.9573,2007-11-23
Growth Fund,0.9573,2007-11-24
Growth Fund,0.9573,2007-11-25
Growth Fund,0.9665,2007-11-26
Growth Fund,0.9554,2007-11-27
Growth Fund,0.9549,2007-11-28
Growth Fund,0.964,2007-11-29
Growth Fund,0.9745,2007-11-30
Growth Fund,0.9745,2007-12-01
Growth Fund,0.9745,2007-12-02
Growth Fund,0.974,2007-12-03
Growth Fund,0.9707,2007-12-04
Growth Fund,0.9635,2007-12-05
Growth Fund,0.9727,2007-12-06
Growth Fund,0.9801,2007-12-07
Growth Fund,0.9801,2007-12-08
Growth Fund,0.9801,2007-12-09
Growth Fund,0.9796,2007-12-10
Growth Fund,0.9802,2007-12-11
Growth Fund,0.9669,2007-12-12
Growth Fund,0.9684,2007-12-13
Growth Fund,0.9601,2007-12-14
Growth Fund,0.9601,2007-12-15
Growth Fund,0.9601,2007-12-16
Growth Fund,0.9553,2007-12-17
Growth Fund,0.9479,2007-12-18
Growth Fund,0.9491,2007-12-19
Growth Fund,0.9471,2007-12-20
Growth Fund,0.9521,2007-12-21
Growth Fund,0.9521,2007-12-22
Growth Fund,0.9521,2007-12-23
Growth Fund,0.9604,2007-12-24
Growth Fund,0.9604,2007-12-25
Growth Fund,0.9604,2007-12-26
Growth Fund,0.9635,2007-12-27
Growth Fund,0.9583,2007-12-28
Growth Fund,0.9583,2007-12-29
Growth Fund,0.9583,2007-12-30
Growth Fund,0.9591,2007-12-31
Growth Fund,0.9591,2008-01-01
Growth Fund,0.9591,2008-01-02
Growth Fund,0.953,2008-01-03
Growth Fund,0.941,2008-01-04
Growth Fund,0.941,2008-01-05
Growth Fund,0.941,2008-01-06
Growth Fund,0.9373,2008-01-07
Growth Fund,0.938,2008-01-08
Growth Fund,0.9292,2008-01-09
Growth Fund,0.9295,2008-01-10
Growth Fund,0.9231,2008-01-11
Growth Fund,0.9231,2008-01-12
Growth Fund,0.9231,2008-01-13
Growth Fund,0.9231,2008-01-14
Growth Fund,0.9231,2008-01-15
Growth Fund,0.9231,2008-01-16
Growth Fund,0.9231,2008-01-17
Growth Fund,0.9231,2008-01-18
Growth Fund,0.9231,2008-01-19
Growth Fund,0.9231,2008-01-20
Growth Fund,0.8787,2008-01-21
Growth Fund,0.8703,2008-01-22
Growth Fund,0.878,2008-01-23
Growth Fund,0.8972,2008-01-24
Growth Fund,0.9059,2008-01-25
Growth Fund,0.9059,2008-01-26
Growth Fund,0.9059,2008-01-27
Growth Fund,0.9059,2008-01-28
Growth Fund,0.9059,2008-01-29
Growth Fund,0.9021,2008-01-30
Growth Fund,0.8961,2008-01-31
Growth Fund,0.9091,2008-02-01
Growth Fund,0.9091,2008-02-02
Growth Fund,0.9091,2008-02-03
Growth Fund,0.9181,2008-02-04
Growth Fund,0.8988,2008-02-05
Growth Fund,0.8972,2008-02-06
Growth Fund,0.8873,2008-02-07
Growth Fund,0.8887,2008-02-08
Growth Fund,0.8887,2008-02-09
Growth Fund,0.8887,2008-02-10
Growth Fund,0.8862,2008-02-11
Growth Fund,0.8836,2008-02-12
Growth Fund,0.8891,2008-02-13
Growth Fund,0.8983,2008-02-14
Growth Fund,0.8932,2008-02-15
Growth Fund,0.8932,2008-02-16
Growth Fund,0.8932,2008-02-17
Growth Fund,0.8919,2008-02-18
Growth Fund,0.8946,2008-02-19
Growth Fund,0.8901,2008-02-20
Growth Fund,0.8916,2008-02-21
Growth Fund,0.8879,2008-02-22
Growth Fund,0.8879,2008-02-23
Growth Fund,0.8879,2008-02-24
Growth Fund,0.8906,2008-02-25
Growth Fund,0.8979,2008-02-26
Growth Fund,0.9042,2008-02-27
Growth Fund,0.9041,2008-02-28
Growth Fund,0.892,2008-02-29
Growth Fund,0.892,2008-03-01
Growth Fund,0.892,2008-03-02
Growth Fund,0.8885,2008-03-03
Growth Fund,0.882,2008-03-04
Growth Fund,0.8846,2008-03-05
Growth Fund,0.8864,2008-03-06
Growth Fund,0.8772,2008-03-07
Growth Fund,0.8772,2008-03-08
Growth Fund,0.8772,2008-03-09
Growth Fund,0.8684,2008-03-10
Growth Fund,0.8693,2008-03-11
Growth Fund,0.8761,2008-03-12
Growth Fund,0.8755,2008-03-13
Growth Fund,0.8692,2008-03-14
Growth Fund,0.8692,2008-03-15
Growth Fund,0.8692,2008-03-16
Growth Fund,0.8564,2008-03-17
Growth Fund,0.8674,2008-03-18
Growth Fund,0.8718,2008-03-19
Growth Fund,0.863,2008-03-20
Growth Fund,0.863,2008-03-21
Growth Fund,0.863,2008-03-22
Growth Fund,0.863,2008-03-23
Growth Fund,0.863,2008-03-24
Growth Fund,0.8771,2008-03-25
Growth Fund,0.8877,2008-03-26
Growth Fund,0.8841,2008-03-27
Growth Fund,0.8829,2008-03-28
Growth Fund,0.8829,2008-03-29
Growth Fund,0.8829,2008-03-30
Growth Fund,0.8894,2008-03-31
Growth Fund,0.9029,2008-04-01
Growth Fund,0.9072,2008-04-02
Growth Fund,0.914,2008-04-03
Growth Fund,0.914,2008-04-04
Growth Fund,0.914,2008-04-05
Growth Fund,0.914,2008-04-06
Growth Fund,0.9147,2008-04-07
Growth Fund,0.9145,2008-04-08
Growth Fund,0.908,2008-04-09
Growth Fund,0.9006,2008-04-10
Growth Fund,0.9007,2008-04-11
Growth Fund,0.9007,2008-04-12
Growth Fund,0.9007,2008-04-13
Growth Fund,0.8929,2008-04-14
Growth Fund,0.8952,2008-04-15
Growth Fund,0.9044,2008-04-16
Growth Fund,0.9117,2008-04-17
Growth Fund,0.9071,2008-04-18
Growth Fund,0.9071,2008-04-19
Growth Fund,0.9071,2008-04-20
Growth Fund,0.9227,2008-04-21
Growth Fund,0.9175,2008-04-22
Growth Fund,0.916,2008-04-23
Growth Fund,0.9201,2008-04-24
Growth Fund,0.9201,2008-04-25
Growth Fund,0.9201,2008-04-26
Growth Fund,0.9201,2008-04-27
Growth Fund,0.9272,2008-04-28
Growth Fund,0.9284,2008-04-29
Growth Fund,0.9258,2008-04-30
Growth Fund,0.9243,2008-05-01
Growth Fund,0.9332,2008-05-02
Growth Fund,0.9332,2008-05-03
Growth Fund,0.9332,2008-05-04
Growth Fund,0.9407,2008-05-05
Growth Fund,0.9341,2008-05-06
Growth Fund,0.9347,2008-05-07
Growth Fund,0.9392,2008-05-08
Growth Fund,0.9403,2008-05-09
Growth Fund,0.9403,2008-05-10
Growth Fund,0.9403,2008-05-11
Growth Fund,0.9408,2008-05-12
Growth Fund,0.943,2008-05-13
Growth Fund,0.9446,2008-05-14
Growth Fund,0.9521,2008-05-15
Growth Fund,0.9559,2008-05-16
Growth Fund,0.9559,2008-05-17
Growth Fund,0.9559,2008-05-18
Growth Fund,0.9537,2008-05-19
Growth Fund,0.9566,2008-05-20
Growth Fund,0.9472,2008-05-21
Growth Fund,0.9339,2008-05-22
Growth Fund,0.9351,2008-05-23
Growth Fund,0.9351,2008-05-24
Growth Fund,0.9351,2008-05-25
Growth Fund,0.9263,2008-05-26
Growth Fund,0.924,2008-05-27
Growth Fund,0.9266,2008-05-28
Growth Fund,0.9289,2008-05-29
Growth Fund,0.933,2008-05-30
Growth Fund,0.933,2008-05-31
Growth Fund,0.933,2008-06-01
Growth Fund,0.933,2008-06-02
Growth Fund,0.9259,2008-06-03
Growth Fund,0.9293,2008-06-04
Growth Fund,0.9306,2008-06-05
Growth Fund,0.9389,2008-06-06
Growth Fund,0.9389,2008-06-07
Growth Fund,0.9389,2008-06-08
Growth Fund,0.9259,2008-06-09
Growth Fund,0.9251,2008-06-10
Growth Fund,0.9185,2008-06-11
Growth Fund,0.905,2008-06-12
Growth Fund,0.912,2008-06-13
Growth Fund,0.912,2008-06-14
Growth Fund,0.912,2008-06-15
Growth Fund,0.9128,2008-06-16
Growth Fund,0.9169,2008-06-17
Growth Fund,0.9151,2008-06-18
Growth Fund,0.9073,2008-06-19
Growth Fund,0.9023,2008-06-20
Growth Fund,0.9023,2008-06-21
Growth Fund,0.9023,2008-06-22
Growth Fund,0.8947,2008-06-23
Growth Fund,0.895,2008-06-24
Growth Fund,0.8909,2008-06-25
Growth Fund,0.8868,2008-06-26
Growth Fund,0.8828,2008-06-27
Growth Fund,0.8828,2008-06-28
Growth Fund,0.8828,2008-06-29
Growth Fund,0.8791,2008-06-30
Growth Fund,0.8767,2008-07-01
Growth Fund,0.8744,2008-07-02
Growth Fund,0.863,2008-07-03
Growth Fund,0.868,2008-07-04
Growth Fund,0.868,2008-07-05
Growth Fund,0.868,2008-07-06
Growth Fund,0.8616,2008-07-07
Growth Fund,0.8632,2008-07-08
Growth Fund,0.8679,2008-07-09
Growth Fund,0.8599,2008-07-10
Growth Fund,0.8612,2008-07-11
Growth Fund,0.8612,2008-07-12
Growth Fund,0.8612,2008-07-13
Growth Fund,0.8519,2008-07-14
Growth Fund,0.8442,2008-07-15
Growth Fund,0.8358,2008-07-16
Growth Fund,0.8482,2008-07-17
Growth Fund,0.8562,2008-07-18
Growth Fund,0.8562,2008-07-19
Growth Fund,0.8562,2008-07-20
Growth Fund,0.8647,2008-07-21
Growth Fund,0.8653,2008-07-22
Growth Fund,0.8753,2008-07-23
Growth Fund,0.8875,2008-07-24
Growth Fund,0.8752,2008-07-25
Growth Fund,0.8752,2008-07-26
Growth Fund,0.8752,2008-07-27
Growth Fund,0.8718,2008-07-28
Growth Fund,0.8664,2008-07-29
Growth Fund,0.8755,2008-07-30
Growth Fund,0.8857,2008-07-31
Growth Fund,0.8809,2008-08-01
Growth Fund,0.8809,2008-08-02
Growth Fund,0.8809,2008-08-03
Growth Fund,0.879,2008-08-04
Growth Fund,0.8688,2008-08-05
Growth Fund,0.8883,2008-08-06
Growth Fund,0.895,2008-08-07
Growth Fund,0.8879,2008-08-08
Growth Fund,0.8879,2008-08-09
Growth Fund,0.8879,2008-08-10
Growth Fund,0.9006,2008-08-11
Growth Fund,0.8974,2008-08-12
Growth Fund,0.8974,2008-08-13
Growth Fund,0.8937,2008-08-14
Growth Fund,0.8955,2008-08-15
Growth Fund,0.8955,2008-08-16
Growth Fund,0.8955,2008-08-17
Growth Fund,0.8923,2008-08-18
Growth Fund,0.8847,2008-08-19
Growth Fund,0.8796,2008-08-20
Growth Fund,0.8806,2008-08-21
Growth Fund,0.8778,2008-08-22
Growth Fund,0.8778,2008-08-23
Growth Fund,0.8778,2008-08-24
Growth Fund,0.8893,2008-08-25
Growth Fund,0.8861,2008-08-26
Growth Fund,0.889,2008-08-27
Growth Fund,0.889,2008-08-28
Growth Fund,0.894,2008-08-29
Growth Fund,0.894,2008-08-30
Growth Fund,0.894,2008-08-31
Growth Fund,0.899,2008-09-01
Growth Fund,0.8996,2008-09-02
Growth Fund,0.9024,2008-09-03
Growth Fund,0.8934,2008-09-04
Growth Fund,0.8825,2008-09-05
Growth Fund,0.8825,2008-09-06
Growth Fund,0.8825,2008-09-07
Growth Fund,0.9032,2008-09-08
Growth Fund,0.8858,2008-09-09
Growth Fund,0.886,2008-09-10
Growth Fund,0.8894,2008-09-11
Growth Fund,0.8983,2008-09-12
Growth Fund,0.8983,2008-09-13
Growth Fund,0.8983,2008-09-14
Growth Fund,0.8762,2008-09-15
Growth Fund,0.8649,2008-09-16
Growth Fund,0.8579,2008-09-17
Growth Fund,0.8557,2008-09-18
Growth Fund,0.8802,2008-09-19
Growth Fund,0.8802,2008-09-20
Growth Fund,0.8802,2008-09-21
Growth Fund,0.8934,2008-09-22
Growth Fund,0.8719,2008-09-23
Growth Fund,0.8695,2008-09-24
Growth Fund,0.8668,2008-09-25
Growth Fund,0.8688,2008-09-26
Growth Fund,0.8688,2008-09-27
Growth Fund,0.8688,2008-09-28
Growth Fund,0.8407,2008-09-29
Growth Fund,0.844,2008-09-30
Growth Fund,0.8505,2008-10-01
Growth Fund,0.8361,2008-10-02
Growth Fund,0.8345,2008-10-03
Growth Fund,0.8345,2008-10-04
Growth Fund,0.8345,2008-10-05
Growth Fund,0.8092,2008-10-06
Growth Fund,0.7936,2008-10-07
Growth Fund,0.7844,2008-10-08
Growth Fund,0.7558,2008-10-09
Growth Fund,0.7386,2008-10-10
Growth Fund,0.7386,2008-10-11
Growth Fund,0.7386,2008-10-12
Growth Fund,0.7669,2008-10-13
Growth Fund,0.7747,2008-10-14
Growth Fund,0.7454,2008-10-15
Growth Fund,0.7397,2008-10-16
Growth Fund,0.746,2008-10-17
Growth Fund,0.746,2008-10-18
Growth Fund,0.746,2008-10-19
Growth Fund,0.7636,2008-10-20
Growth Fund,0.7651,2008-10-21
Growth Fund,0.7373,2008-10-22
Growth Fund,0.7254,2008-10-23
Growth Fund,0.7149,2008-10-24
Growth Fund,0.7149,2008-10-25
Growth Fund,0.7149,2008-10-26
Growth Fund,0.7149,2008-10-27
Growth Fund,0.7213,2008-10-28
Growth Fund,0.7267,2008-10-29
Growth Fund,0.7431,2008-10-30
Growth Fund,0.7564,2008-10-31
Growth Fund,0.7564,2008-11-01
Growth Fund,0.7564,2008-11-02
Growth Fund,0.7653,2008-11-03
Growth Fund,0.7721,2008-11-04
Growth Fund,0.7659,2008-11-05
Growth Fund,0.7399,2008-11-06
Growth Fund,0.737,2008-11-07
Growth Fund,0.737,2008-11-08
Growth Fund,0.737,2008-11-09
Growth Fund,0.7533,2008-11-10
Growth Fund,0.7351,2008-11-11
Growth Fund,0.7213,2008-11-12
Growth Fund,0.7303,2008-11-13
Growth Fund,0.7358,2008-11-14
Growth Fund,0.7358,2008-11-15
Growth Fund,0.7358,2008-11-16
Growth Fund,0.7165,2008-11-17
Growth Fund,0.7091,2008-11-18
Growth Fund,0.689,2008-11-19
Growth Fund,0.6655,2008-11-20
Growth Fund,0.6764,2008-11-21
Growth Fund,0.6764,2008-11-22
Growth Fund,0.6764,2008-11-23
Growth Fund,0.6988,2008-11-24
