Scheme,Price,Date
Balanced Fund,1.0,2007-10-01
Conservative Fund,1.0,2007-10-01
Growth Fund,1.0,2007-10-01
Moderate Fund,1.0,2007-10-01
NZ Cash Fund,1.0,2007-10-01
Balanced Fund,1.0,2007-10-02
Conservative Fund,1.0,2007-10-02
Growth Fund,1.0,2007-10-02
Moderate Fund,1.0,2007-10-02
NZ Cash Fund,1.0,2007-10-02
Balanced Fund,0.9997,2007-10-03
Conservative Fund,0.9995,2007-10-03
Growth Fund,0.9999,2007-10-03
Moderate Fund,0.9995,2007-10-03
NZ Cash Fund,1.0009,2007-10-03
Balanced Fund,1.0001,2007-10-04
Conservative Fund,0.9984,2007-10-04
Growth Fund,1.0006,2007-10-04
Moderate Fund,0.9995,2007-10-04
NZ Cash Fund,1.0008,2007-10-04
Balanced Fund,1.0001,2007-10-05
Conservative Fund,0.9985,2007-10-05
Growth Fund,1.0007,2007-10-05
Moderate Fund,0.9994,2007-10-05
NZ Cash Fund,1.001,2007-10-05
Balanced Fund,1.0001,2007-10-06
Conservative Fund,0.9985,2007-10-06
Growth Fund,1.0007,2007-10-06
Moderate Fund,0.9994,2007-10-06
NZ Cash Fund,1.001,2007-10-06
Balanced Fund,1.0,2007-10-07
Conservative Fund,1.0,2007-10-07
Growth Fund,1.0,2007-10-07
Moderate Fund,1.0,2007-10-07
NZ Cash Fund,1.0,2007-10-07
Balanced Fund,1.003,2007-10-08
Conservative Fund,0.9989,2007-10-08
Growth Fund,1.0045,2007-10-08
Moderate Fund,1.0015,2007-10-08
NZ Cash Fund,1.0017,2007-10-08
Balanced Fund,0.9991,2007-10-09
Conservative Fund,0.9977,2007-10-09
Growth Fund,1.0001,2007-10-09
Moderate Fund,0.9985,2007-10-09
NZ Cash Fund,1.0019,2007-10-09
Balanced Fund,1.0038,2007-10-10
Conservative Fund,0.9993,2007-10-10
Growth Fund,1.006,2007-10-10
Moderate Fund,1.0017,2007-10-10
NZ Cash Fund,1.0022,2007-10-10
Balanced Fund,1.0027,2007-10-11
Conservative Fund,0.9991,2007-10-11
Growth Fund,1.004,2007-10-11
Moderate Fund,1.0013,2007-10-11
NZ Cash Fund,1.0025,2007-10-11
Balanced Fund,1.005,2007-10-12
Conservative Fund,0.9985,2007-10-12
Growth Fund,1.0015,2007-10-12
Moderate Fund,1.0004,2007-10-12
NZ Cash Fund,1.0027,2007-10-12
Balanced Fund,1.0005,2007-10-13
Conservative Fund,0.9985,2007-10-13
Growth Fund,1.0015,2007-10-13
Moderate Fund,1.0004,2007-10-13
NZ Cash Fund,1.0027,2007-10-13
Balanced Fund,1.0005,2007-10-14
Conservative Fund,0.9985,2007-10-14
Growth Fund,1.0015,2007-10-14
Moderate Fund,1.0004,2007-10-14
NZ Cash Fund,1.0027,2007-10-14
Balanced Fund,1.0027,2007-10-15
Conservative Fund,0.9993,2007-10-15
Growth Fund,1.005,2007-10-15
Moderate Fund,1.0012,2007-10-15
NZ Cash Fund,1.0034,2007-10-15
Balanced Fund,1.0015,2007-10-16
Conservative Fund,0.9978,2007-10-16
Growth Fund,1.0049,2007-10-16
Moderate Fund,0.9991,2007-10-16
NZ Cash Fund,1.0036,2007-10-16
Balanced Fund,0.9988,2007-10-17
Conservative Fund,0.9974,2007-10-17
Growth Fund,1.0016,2007-10-17
Moderate Fund,0.9975,2007-10-17
NZ Cash Fund,1.0038,2007-10-17
Balanced Fund,1.0024,2007-10-18
Conservative Fund,0.9994,2007-10-18
Growth Fund,1.005,2007-10-18
Moderate Fund,1.0006,2007-10-18
NZ Cash Fund,1.0041,2007-10-18
Balanced Fund,0.994,2007-10-19
Conservative Fund,0.9991,2007-10-19
Growth Fund,0.9928,2007-10-19
Moderate Fund,0.9967,2007-10-19
NZ Cash Fund,1.0043,2007-10-19
Balanced Fund,0.994,2007-10-20
Conservative Fund,0.9991,2007-10-20
Growth Fund,0.9928,2007-10-20
Moderate Fund,0.9967,2007-10-20
NZ Cash Fund,1.0043,2007-10-20
Balanced Fund,0.994,2007-10-21
Conservative Fund,0.9991,2007-10-21
Growth Fund,0.9928,2007-10-21
Moderate Fund,0.9967,2007-10-21
NZ Cash Fund,1.0043,2007-10-21
Balanced Fund,0.994,2007-10-22
Conservative Fund,0.9991,2007-10-22
Growth Fund,0.9928,2007-10-22
Moderate Fund,0.9967,2007-10-22
NZ Cash Fund,1.0043,2007-10-22
Balanced Fund,0.9942,2007-10-23
Conservative Fund,0.9992,2007-10-23
Growth Fund,0.993,2007-10-23
Moderate Fund,0.9969,2007-10-23
NZ Cash Fund,1.0047,2007-10-23
Balanced Fund,0.9986,2007-10-24
Conservative Fund,0.9993,2007-10-24
Growth Fund,0.9982,2007-10-24
Moderate Fund,1.0002,2007-10-24
NZ Cash Fund,1.005,2007-10-24
Balanced Fund,0.9972,2007-10-25
Conservative Fund,1.0007,2007-10-25
Growth Fund,0.9964,2007-10-25
Moderate Fund,0.9996,2007-10-25
NZ Cash Fund,1.0052,2007-10-25
Balanced Fund,0.9962,2007-10-26
Conservative Fund,0.9995,2007-10-26
Growth Fund,0.9953,2007-10-26
Moderate Fund,0.9986,2007-10-26
NZ Cash Fund,1.0055,2007-10-26
Balanced Fund,0.9962,2007-10-27
Conservative Fund,0.9995,2007-10-27
Growth Fund,0.9953,2007-10-27
Moderate Fund,0.9986,2007-10-27
NZ Cash Fund,1.0055,2007-10-27
Balanced Fund,0.9962,2007-10-28
