Scheme,Price,Date
Moderate Fund,1.0,2007-10-01
Moderate Fund,1.0,2007-10-02
Moderate Fund,0.9995,2007-10-03
Moderate Fund,0.9995,2007-10-04
Moderate Fund,0.9994,2007-10-05
Moderate Fund,0.9994,2007-10-06
Moderate Fund,1.0,2007-10-07
Moderate Fund,1.0015,2007-10-08
Moderate Fund,0.9985,2007-10-09
Moderate Fund,1.0017,2007-10-10
Moderate Fund,1.0013,2007-10-11
Moderate Fund,1.0004,2007-10-12
Moderate Fund,1.0004,2007-10-13
Moderate Fund,1.0004,2007-10-14
Moderate Fund,1.0012,2007-10-15
Moderate Fund,0.9991,2007-10-16
Moderate Fund,0.9975,2007-10-17
Moderate Fund,1.0006,2007-10-18
Moderate Fund,0.9967,2007-10-19
Moderate Fund,0.9967,2007-10-20
Moderate Fund,0.9967,2007-10-21
Moderate Fund,0.9967,2007-10-22
Moderate Fund,0.9969,2007-10-23
Moderate Fund,1.0002,2007-10-24
Moderate Fund,0.9996,2007-10-25
Moderate Fund,0.9986,2007-10-26
Moderate Fund,0.9986,2007-10-27
Moderate Fund,0.9986,2007-10-28
Moderate Fund,1.0009,2007-10-29
Moderate Fund,0.9999,2007-10-30
Moderate Fund,1.0015,2007-10-31
Moderate Fund,1.0017,2007-11-01
Moderate Fund,0.9968,2007-11-02
Moderate Fund,0.9968,2007-11-03
Moderate Fund,0.9968,2007-11-04
Moderate Fund,0.9932,2007-11-05
Moderate Fund,0.9912,2007-11-06
Moderate Fund,0.9935,2007-11-07
Moderate Fund,0.9867,2007-11-08
Moderate Fund,0.9865,2007-11-09
Moderate Fund,0.9865,2007-11-10
Moderate Fund,0.9865,2007-11-11
Moderate Fund,0.9826,2007-11-12
Moderate Fund,0.9877,2007-11-13
Moderate Fund,0.9929,2007-11-14
Moderate Fund,0.9884,2007-11-15
Moderate Fund,0.9884,2007-11-16
Moderate Fund,0.9884,2007-11-17
Moderate Fund,0.9884,2007-11-18
Moderate Fund,0.9889,2007-11-19
Moderate Fund,0.9836,2007-11-20
Moderate Fund,0.9826,2007-11-21
Moderate Fund,0.9829,2007-11-22
Moderate Fund,0.9848,2007-11-23
Moderate Fund,0.9848,2007-11-24
Moderate Fund,0.9848,2007-11-25
Moderate Fund,0.9897,2007-11-26
Moderate Fund,0.9835,2007-11-27
Moderate Fund,0.9835,2007-11-28
Moderate Fund,0.9879,2007-11-29
Moderate Fund,0.9929,2007-11-30
Moderate Fund,0.9929,2007-12-01
Moderate Fund,0.9929,2007-12-02
Moderate Fund,0.9927,2007-12-03
Moderate Fund,0.9918,2007-12-04
Moderate Fund,0.989,2007-12-05
Moderate Fund,0.9943,2007-12-06
Moderate Fund,0.9982,2007-12-07
Moderate Fund,0.9982,2007-12-08
Moderate Fund,0.9982,2007-12-09
Moderate Fund,0.9967,2007-12-10
Moderate Fund,0.9973,2007-12-11
Moderate Fund,0.991,2007-12-12
Moderate Fund,0.9907,2007-12-13
Moderate Fund,0.9861,2007-12-14
Moderate Fund,0.9861,2007-12-15
Moderate Fund,0.9861,2007-12-16
Moderate Fund,0.9809,2007-12-17
Moderate Fund,0.977,2007-12-18
Moderate Fund,0.9785,2007-12-19
Moderate Fund,0.9781,2007-12-20
Moderate Fund,0.9815,2007-12-21
Moderate Fund,0.9815,2007-12-22
Moderate Fund,0.9815,2007-12-23
Moderate Fund,0.9851,2007-12-24
Moderate Fund,0.9851,2007-12-25
Moderate Fund,0.9851,2007-12-26
Moderate Fund,0.9877,2007-12-27
Moderate Fund,0.9844,2007-12-28
Moderate Fund,0.9844,2007-12-29
Moderate Fund,0.9844,2007-12-30
Moderate Fund,0.9856,2007-12-31
Moderate Fund,0.9856,2008-01-01
Moderate Fund,0.9856,2008-01-02
Moderate Fund,0.984,2008-01-03
Moderate Fund,0.9779,2008-01-04
Moderate Fund,0.9779,2008-01-05
Moderate Fund,0.9779,2008-01-06
Moderate Fund,0.9763,2008-01-07
Moderate Fund,0.9766,2008-01-08
Moderate Fund,0.9709,2008-01-09
Moderate Fund,0.9717,2008-01-10
Moderate Fund,0.9682,2008-01-11
Moderate Fund,0.9682,2008-01-12
Moderate Fund,0.9682,2008-01-13
Moderate Fund,0.9682,2008-01-14
Moderate Fund,0.9682,2008-01-15
Moderate Fund,0.9682,2008-01-16
Moderate Fund,0.9682,2008-01-17
Moderate Fund,0.9682,2008-01-18
Moderate Fund,0.9682,2008-01-19
Moderate Fund,0.9682,2008-01-20
Moderate Fund,0.9471,2008-01-21
Moderate Fund,0.9435,2008-01-22
Moderate Fund,0.9489,2008-01-23
Moderate Fund,0.9604,2008-01-24
Moderate Fund,0.9659,2008-01-25
Moderate Fund,0.9659,2008-01-26
Moderate Fund,0.9659,2008-01-27
Moderate Fund,0.9659,2008-01-28
Moderate Fund,0.9659,2008-01-29
Moderate Fund,0.964,2008-01-30
Moderate Fund,0.9613,2008-01-31
Moderate Fund,0.9694,2008-02-01
Moderate Fund,0.9694,2008-02-02
Moderate Fund,0.9694,2008-02-03
Moderate Fund,0.9743,2008-02-04
Moderate Fund,0.9636,2008-02-05
Moderate Fund,0.9604,2008-02-06
Moderate Fund,0.9574,2008-02-07
Moderate Fund,0.9582,2008-02-08
Moderate Fund,0.9582,2008-02-09
Moderate Fund,0.9582,2008-02-10
Moderate Fund,0.9556,2008-02-11
Moderate Fund,0.9546,2008-02-12
Moderate Fund,0.9566,2008-02-13
Moderate Fund,0.9625,2008-02-14
Moderate Fund,0.958,2008-02-15
Moderate Fund,0.958,2008-02-16
Moderate Fund,0.958,2008-02-17
Moderate Fund,0.9581,2008-02-18
Moderate Fund,0.9593,2008-02-19
Moderate Fund,0.9559,2008-02-20
Moderate Fund,0.9573,2008-02-21
Moderate Fund,0.9557,2008-02-22
Moderate Fund,0.9557,2008-02-23
Moderate Fund,0.9557,2008-02-24
Moderate Fund,0.9578,2008-02-25
Moderate Fund,0.9614,2008-02-26
Moderate Fund,0.9649,2008-02-27
Moderate Fund,0.9639,2008-02-28
Moderate Fund,0.9592,2008-02-29
Moderate Fund,0.9592,2008-03-01
Moderate Fund,0.9592,2008-03-02
Moderate Fund,0.9565,2008-03-03
Moderate Fund,0.9537,2008-03-04
Moderate Fund,0.9552,2008-03-05
Moderate Fund,0.956,2008-03-06
Moderate Fund,0.9502,2008-03-07
Moderate Fund,0.9502,2008-03-08
Moderate Fund,0.9502,2008-03-09
