Scheme,Price,Date
NZ Cash Fund,1.0,2007-10-01
NZ Cash Fund,1.0,2007-10-02
NZ Cash Fund,1.0009,2007-10-03
NZ Cash Fund,1.0008,2007-10-04
NZ Cash Fund,1.001,2007-10-05
NZ Cash Fund,1.001,2007-10-06
NZ Cash Fund,1.0,2007-10-07
NZ Cash Fund,1.0017,2007-10-08
NZ Cash Fund,1.0019,2007-10-09
NZ Cash Fund,1.0022,2007-10-10
NZ Cash Fund,1.0025,2007-10-11
NZ Cash Fund,1.0027,2007-10-12
NZ Cash Fund,1.0027,2007-10-13
NZ Cash Fund,1.0027,2007-10-14
NZ Cash Fund,1.0034,2007-10-15
NZ Cash Fund,1.0036,2007-10-16
NZ Cash Fund,1.0038,2007-10-17
NZ Cash Fund,1.0041,2007-10-18
NZ Cash Fund,1.0043,2007-10-19
NZ Cash Fund,1.0043,2007-10-20
NZ Cash Fund,1.0043,2007-10-21
NZ Cash Fund,1.0043,2007-10-22
NZ Cash Fund,1.0047,2007-10-23
NZ Cash Fund,1.005,2007-10-24
NZ Cash Fund,1.0052,2007-10-25
NZ Cash Fund,1.0055,2007-10-26
NZ Cash Fund,1.0055,2007-10-27
NZ Cash Fund,1.0055,2007-10-28
NZ Cash Fund,1.006,2007-10-29
NZ Cash Fund,1.0063,2007-10-30
NZ Cash Fund,1.0064,2007-10-31
NZ Cash Fund,1.0067,2007-11-01
NZ Cash Fund,1.0069,2007-11-02
NZ Cash Fund,1.0069,2007-11-03
NZ Cash Fund,1.0069,2007-11-04
NZ Cash Fund,1.0077,2007-11-05
NZ Cash Fund,1.0079,2007-11-06
NZ Cash Fund,1.0081,2007-11-07
NZ Cash Fund,1.0084,2007-11-08
NZ Cash Fund,1.0086,2007-11-09
NZ Cash Fund,1.0086,2007-11-10
NZ Cash Fund,1.0086,2007-11-11
NZ Cash Fund,1.0096,2007-11-12
NZ Cash Fund,1.0096,2007-11-13
NZ Cash Fund,1.0099,2007-11-14
NZ Cash Fund,1.0101,2007-11-15
NZ Cash Fund,1.0103,2007-11-16
NZ Cash Fund,1.0103,2007-11-17
NZ Cash Fund,1.0103,2007-11-18
NZ Cash Fund,1.0109,2007-11-19
NZ Cash Fund,1.0111,2007-11-20
NZ Cash Fund,1.0114,2007-11-21
NZ Cash Fund,1.0116,2007-11-22
NZ Cash Fund,1.0118,2007-11-23
NZ Cash Fund,1.0118,2007-11-24
NZ Cash Fund,1.0118,2007-11-25
NZ Cash Fund,1.0125,2007-11-26
NZ Cash Fund,1.0126,2007-11-27
NZ Cash Fund,1.0128,2007-11-28
NZ Cash Fund,1.013,2007-11-29
NZ Cash Fund,1.0131,2007-11-30
NZ Cash Fund,1.0131,2007-12-01
NZ Cash Fund,1.0131,2007-12-02
NZ Cash Fund,1.0139,2007-12-03
NZ Cash Fund,1.0141,2007-12-04
NZ Cash Fund,1.0144,2007-12-05
NZ Cash Fund,1.0145,2007-12-06
NZ Cash Fund,1.0147,2007-12-07
NZ Cash Fund,1.0147,2007-12-08
NZ Cash Fund,1.0147,2007-12-09
NZ Cash Fund,1.0154,2007-12-10
NZ Cash Fund,1.0157,2007-12-11
NZ Cash Fund,1.0159,2007-12-12
NZ Cash Fund,1.0161,2007-12-13
NZ Cash Fund,1.0164,2007-12-14
NZ Cash Fund,1.0164,2007-12-15
NZ Cash Fund,1.0164,2007-12-16
NZ Cash Fund,1.0171,2007-12-17
NZ Cash Fund,1.0172,2007-12-18
NZ Cash Fund,1.0175,2007-12-19
NZ Cash Fund,1.0176,2007-12-20
NZ Cash Fund,1.0179,2007-12-21
NZ Cash Fund,1.0179,2007-12-22
NZ Cash Fund,1.0179,2007-12-23
NZ Cash Fund,1.0185,2007-12-24
NZ Cash Fund,1.0185,2007-12-25
NZ Cash Fund,1.0185,2007-12-26
NZ Cash Fund,1.0192,2007-12-27
NZ Cash Fund,1.0195,2007-12-28
NZ Cash Fund,1.0195,2007-12-29
NZ Cash Fund,1.0195,2007-12-30
NZ Cash Fund,1.0203,2007-12-31
NZ Cash Fund,1.0203,2008-01-01
NZ Cash Fund,1.0203,2008-01-02
NZ Cash Fund,1.021,2008-01-03
NZ Cash Fund,1.0214,2008-01-04
NZ Cash Fund,1.0214,2008-01-05
NZ Cash Fund,1.0214,2008-01-06
NZ Cash Fund,1.0221,2008-01-07
NZ Cash Fund,1.0224,2008-01-08
NZ Cash Fund,1.0226,2008-01-09
NZ Cash Fund,1.0228,2008-01-10
NZ Cash Fund,1.0231,2008-01-11
NZ Cash Fund,1.0231,2008-01-12
NZ Cash Fund,1.0231,2008-01-13
NZ Cash Fund,1.0231,2008-01-14
NZ Cash Fund,1.0231,2008-01-15
NZ Cash Fund,1.0231,2008-01-16
NZ Cash Fund,1.0231,2008-01-17
NZ Cash Fund,1.0231,2008-01-18
NZ Cash Fund,1.0231,2008-01-19
NZ Cash Fund,1.0231,2008-01-20
NZ Cash Fund,1.0249,2008-01-21
NZ Cash Fund,1.0252,2008-01-22
NZ Cash Fund,1.0254,2008-01-23
NZ Cash Fund,1.0256,2008-01-24
NZ Cash Fund,1.0259,2008-01-25
NZ Cash Fund,1.0259,2008-01-26
NZ Cash Fund,1.0259,2008-01-27
NZ Cash Fund,1.0259,2008-01-28
NZ Cash Fund,1.0259,2008-01-29
NZ Cash Fund,1.0269,2008-01-30
NZ Cash Fund,1.0272,2008-01-31
NZ Cash Fund,1.0274,2008-02-01
NZ Cash Fund,1.0274,2008-02-02
NZ Cash Fund,1.0274,2008-02-03
NZ Cash Fund,1.0281,2008-02-04
